nombreImagen:tEjecucionSeam:tEjecucionRun:tEtotal:memoriaSeamCarvingNeta:memoriaRunLenthNeta:memoriaCompresion
dairy-cow-540x380,csv:58,562726736068726:1,4229047298431396:59,985631465911865:20,19921875:0,0:20,19921875
dairy-cow,csv:33,06463575363159:1,2463748455047607:34,31101059913635:17,3203125:0,0625:17,3828125
dairy-cows-on-pasture (1),csv:14,412554502487183:0,8271849155426025:15,239739418029785:7,80859375:0,0:7,80859375
dairy-cows-on-pasture,csv:14,182990789413452:0,7941527366638184:14,97714352607727:7,8046875:0,0:7,8046875
DairyCowBed_1032016-36257_F_c-TimScrivener,csv:26,45862627029419:0,9923529624938965:27,450979232788086:12,0:0,0:12,0
dairycows,csv:102,09657406806946:2,071056842803955:104,16763091087341:33,0:0,9375:33,9375
dairy_cow_ridgeway_research_5-scaled,csv:848,4847683906555:7,211908578872681:855,6966769695282:187,58203125:30,375:217,95703125
Dairy_cow_single_banner_2,csv:249,64985060691833:2,9500818252563477:252,59993243217468:93,26171875:0,125:93,38671875
Dean-Farm-Trust-Cow-2,csv:11,914405107498169:0,8699758052825928:12,784380912780762:7,9921875:0,0:7,9921875
depositphotos_47178201-stock-photo-healthy-cow-in-mountains,csv:57,52949404716492:1,4593803882598877:58,988874435424805:11,78125:0,109375:11,890625
descarga,csv:1,3777008056640625:1,4388806819915771:2,8165814876556396:1,2109375:0,0:1,2109375
DFOC-047,csv:39,22615718841553:1,1922411918640137:40,41839838027954:15,9921875:0,01171875:16,00390625
discover,csv:62,8363561630249:1,4752964973449707:64,31165266036987:22,0:0,0:22,0
divacow_custom-dda68e165d8a2336a2a8ccb7e0bf7b1d3acccfa7,csv:42,460023641586304:1,2783615589141846:43,73838520050049:17,859375:0,0:17,859375
eating-insects-food-to-feed-people-and-help-the-environment,csv:75,24212574958801:1,6403448581695557:76,88247060775757:27,7734375:0,0:27,7734375
Eid-Healthy-Cow-Photos,csv:20,23115825653076:0,9488546848297119:21,180012941360474:10,984375:0,0:10,984375
fd762dfb1e6ed0d3865df0097fa41ca42dbbbac7,csv:22,45219087600708:0,9787087440490723:23,430899620056152:11,3203125:0,0:11,3203125
featured-image-MAIN-GEA-M-brush-c-no-credit,csv:26,941431283950806:1,0220363140106201:27,963467597961426:11,984375:0,0:11,984375
file-20170619-12412-ihxeqe,csv:35,486403465270996:1,1575076580047607:36,64391112327576:21,46875:0,0:21,46875
File-Attachment-housecow-herd1-1200px-1024x768-1 (1),csv:53,518351793289185:1,4502995014190674:54,96865129470825:21,3359375:0,05859375:21,39453125
File-Attachment-housecow-herd1-1200px-1024x768-1,csv:53,25597023963928:1,457914113998413:54,713884353637695:21,0078125:0,08203125:21,08984375
FrBeI_CzZOSiBVzLaJ7cN-BUEP9JEUVcUIZVf_g4VCw,csv:4960,738143920898:19,15186333656311:4979,890007257462:648,71484375:26,85546875:675,5703125
fromthe1990s,csv:47,84940195083618:1,3226213455200195:49,1720232963562:24,91796875:0,0:24,91796875
funny-cow-adobestock_177259529,csv:324,2038233280182:3,683133363723755:327,88695669174194:88,0625:1,02734375:89,08984375
gallery-1497548706-brown-cow-chocolate-milk (1),csv:5,324461936950684:1,264394998550415:6,588856935501099:4,01171875:0,0:4,01171875
gallery-1497548706-brown-cow-chocolate-milk (2),csv:5,2968590259552:1,234055757522583:6,530914783477783:3,265625:0,0:3,265625
gallery-1497548706-brown-cow-chocolate-milk,csv:5,311964750289917:1,218113899230957:6,530078649520874:3,265625:0,0:3,265625
GettyImages-1228862688,csv:17,330251693725586:0,8472170829772949:18,17746877670288:9,02734375:0,0:9,02734375
gettyimages-168262649-612x612,csv:10,82813048362732:0,7285196781158447:11,556650161743164:6,6015625:0,0:6,6015625
GettyImages-172358671-1409cde,csv:11,069769859313965:0,7462153434753418:11,815985202789307:6,58203125:0,0:6,58203125
GettyImages-504037003-daca40c,csv:3,2619354724884033:1,1759040355682373:4,437839508056641:6,1875:0,0:6,1875
GettyImages-591712165-cda012a,csv:25,60066795349121:0,9319756031036377:26,53264355659485:11,390625:0,0:11,390625
GettyImages-646927000-380a949,csv:11,132760763168335:0,7707357406616211:11,903496503829956:5,87109375:0,0:5,87109375
gettyimages-906635620-612x612,csv:10,838095426559448:0,7458763122558594:11,583971738815308:5,71875:0,0:5,71875
grass-fed-vs-grain-fed-beef-1296x728-feature (1),csv:79,81415367126465:1,6700150966644287:81,48416876792908:29,7109375:0,18359375:29,89453125
grass-fed-vs-grain-fed-beef-1296x728-feature (2),csv:79,876225233078:1,739842176437378:81,61606740951538:25,84765625:0,0:25,84765625
grass-fed-vs-grain-fed-beef-1296x728-feature,csv:80,17107796669006:1,6586551666259766:81,82973313331604:29,55078125:0,0:29,55078125
happy-cows_6_housed-dairy-cows,csv:263,55915808677673:3,1041154861450195:266,66327357292175:87,2265625:0,0625:87,2890625
